Language,Algorithm,Matrix_Size,Time_ms,Std_Dev_ms,Speedup
Python,i-j-k,64x64,12.5,0.2,1.00
Python,i-k-j,64x64,12.6,0.3,1.00
Python,i-j-k,128x128,101.3,3.3,1.00
Python,i-k-j,128x128,99.2,1.1,1.02
Python,i-j-k,256x256,819.7,3.0,1.00
Python,i-k-j,256x256,790.7,7.7,1.04
Java,i-j-k,64x64,1.0,0.4,1.00
Java,i-k-j,64x64,0.7,0.4,1.40
Java,i-j-k,128x128,1.2,0.0,1.00
Java,i-k-j,128x128,0.6,0.3,1.88
Java,i-j-k,256x256,10.8,0.1,1.00
Java,i-k-j,256x256,2.4,0.0,4.47
C++,i-j-k,64x64,0.2,0.0,1.00
C++,i-k-j,64x64,0.0,0.0,5.37
C++,i-j-k,128x128,2.2,0.1,1.00
C++,i-k-j,128x128,0.3,0.0,6.83
C++,i-j-k,256x256,15.6,1.4,1.00
C++,i-k-j,256x256,2.3,0.0,6.84
Rust,i-j-k,64x64,0.0,0.0,1.00
Rust,i-k-j,64x64,0.0,0.0,1.01
Rust,i-j-k,128x128,0.1,0.0,1.00
Rust,i-k-j,128x128,0.1,0.0,1.00
Rust,i-j-k,256x256,1.9,0.1,1.00
Rust,i-k-j,256x256,1.6,0.0,1.14
